transaction_id,customer_id,transaction_date,amount,transaction_type,payment_status
TXN_00000105,CUST_009561,2025-01-26 19:58:42.215895,77.62,Subscription,Completed
TXN_00000106,CUST_006544,2025-06-03 19:58:42.215946,77.57,Refund,Completed
TXN_00000107,CUST_005931,2026-08-26 19:58:42.215997,102.47,Subscription,Completed
TXN_00000108,CUST_003594,2025-10-26 19:58:42.216048,54.11,Subscription,Completed
TXN_00000109,CUST_002267,2025-01-23 19:58:42.216099,29.93,Purchase,Completed
TXN_00000110,CUST_008349,2026-09-04 19:58:42.216164,220.76,Purchase,Completed
TXN_00000111,CUST_008086,2024-10-13 19:58:42.216220,30.1,Purchase,Completed
TXN_00000113,CUST_000772,2025-05-16 19:58:42.216314,61.63,Subscription,Completed
TXN_00000114,CUST_001797,2026-04-18 19:58:42.216369,144.32,Upgrade,Completed
TXN_00000115,CUST_002505,2024-12-20 19:58:42.216435,26.49,Purchase,Completed
TXN_00000116,CUST_002622,2025-05-17 19:58:42.216487,25.55,Purchase,Failed
TXN_00000117,CUST_006917,2025-01-08 19:58:42.216539,46.68,Purchase,Completed
TXN_00000118,CUST_009772,2024-11-07 19:58:42.216591,44.73,Purchase,Completed
TXN_00000119,CUST_001041,2025-03-28 19:58:42.216642,193.43,Subscription,Completed
TXN_00000120,CUST_006305,2025-12-24 19:58:42.216698,16.15,Purchase,Failed
TXN_00000121,CUST_006253,2026-06-09 19:58:42.216750,35.25,Subscription,Completed
TXN_00000122,CUST_009764,2025-05-19 19:58:42.216801,49.78,Purchase,Completed
TXN_00000123,CUST_007669,2024-09-29 19:58:42.216852,99.31,Subscription,Completed
TXN_00000124,CUST_008670,2026-08-17 19:58:42.216904,46.6,Purchase,Completed
TXN_00000125,CUST_004120,2025-03-18 19:58:42.216955,62.45,Subscription,Completed
TXN_00000126,CUST_009065,2026-03-06 19:58:42.217006,50.85,Purchase,Completed
TXN_00000128,CUST_001877,2026-01-25 19:58:42.217091,84.11,Purchase,Completed
TXN_00000129,CUST_008798,2026-07-08 19:58:42.217153,130.71,Subscription,Completed
TXN_00000130,CUST_004372,2025-08-23 19:58:42.217205,58.52,Purchase,Completed
TXN_00000131,CUST_005574,2025-05-12 19:58:42.217257,13.93,Purchase,Completed
TXN_00000132,CUST_001828,2025-07-29 19:58:42.217320,137.17,Purchase,Completed
TXN_00000133,CUST_004809,2025-05-05 19:58:42.217376,27.54,Purchase,Completed
TXN_00000134,CUST_007124,2025-01-31 19:58:42.217438,12.4,Subscription,Completed
TXN_00000135,CUST_002592,2026-08-19 19:58:42.217490,39.44,Purchase,Completed
TXN_00000136,CUST_007434,2025-10-24 19:58:42.217542,23.04,Upgrade,Completed
TXN_00000137,CUST_000054,2024-09-14 19:58:42.217594,16.14,Purchase,Completed
TXN_00000138,CUST_004316,2026-08-26 19:58:42.217645,109.81,Purchase,Completed
TXN_00000139,CUST_008202,2025-03-15 19:58:42.217696,17.29,Refund,Completed
TXN_00000140,CUST_002928,2025-10-20 19:58:42.217748,53.3,Refund,Completed
TXN_00000141,CUST_008318,2025-11-11 19:58:42.217799,16.66,Purchase,Completed
TXN_00000142,CUST_001744,2025-03-01 19:58:42.217850,80.19,Purchase,Completed
TXN_00000143,CUST_004890,2025-07-18 19:58:42.217901,17.26,Subscription,Completed
TXN_00000144,CUST_008318,2026-01-16 19:58:42.217957,41.91,Purchase,Completed
TXN_00000145,CUST_009978,2025-04-18 19:58:42.218008,29.34,Purchase,Completed
TXN_00000146,CUST_003259,2025-03-06 19:58:42.218062,38.92,Purchase,Completed
TXN_00000147,CUST_002505,2025-03-19 19:58:42.218114,138.23,Upgrade,Completed
TXN_00000148,CUST_006127,2025-10-13 19:58:42.218179,15.82,Purchase,Completed
TXN_00000149,CUST_002647,2024-09-25 19:58:42.218231,23.66,Subscription,Completed
TXN_00000150,CUST_008838,2025-05-30 19:58:42.218282,23.05,Subscription,Completed
TXN_00000151,CUST_008690,2025-01-20 19:58:42.218343,52.64,Subscription,Completed
TXN_00000152,CUST_000010,2026-09-03 19:58:42.218408,93.95,Purchase,Completed
TXN_00000153,CUST_009814,2024-10-03 19:58:42.218462,45.08,Subscription,Completed
TXN_00000155,CUST_008006,2025-01-14 19:58:42.218548,25.29,Purchase,Completed
TXN_00000156,CUST_000320,2025-01-16 19:58:42.218600,17.3,Subscription,Completed
TXN_00000157,CUST_001833,2025-07-06 19:58:42.218651,31.14,Subscription,Completed
TXN_00000158,CUST_005948,2026-04-11 19:58:42.218703,26.72,Purchase,Completed
TXN_00000159,CUST_005039,2024-11-15 19:58:42.218754,78.21,Purchase,Completed
TXN_00000160,CUST_003924,2026-05-10 19:58:42.218806,53.69,Purchase,Completed
TXN_00000161,CUST_000950,2025-01-10 19:58:42.218856,18.75,Subscription,Completed
TXN_00000162,CUST_003947,2025-12-07 19:58:42.218919,36.18,Upgrade,Completed
TXN_00000163,CUST_009296,2024-10-04 19:58:42.218972,36.81,Purchase,Completed
TXN_00000164,CUST_001291,2026-05-12 19:58:42.219023,17.96,Subscription,Completed
TXN_00000165,CUST_001404,2025-12-08 19:58:42.219079,181.16,Purchase,Completed
TXN_00000167,CUST_001134,2025-02-05 19:58:42.219175,50.91,Purchase,Completed
TXN_00000168,CUST_008728,2026-02-22 19:58:42.219228,11.95,Purchase,Completed
TXN_00000169,CUST_002061,2025-05-30 19:58:42.219280,59.13,Purchase,Completed
TXN_00000170,CUST_002104,2025-04-29 19:58:42.219351,31.33,Purchase,Completed
TXN_00000171,CUST_007788,2025-04-21 19:58:42.219444,30.43,Upgrade,Completed
TXN_00000172,CUST_009008,2026-08-18 19:58:42.219537,16.49,Subscription,Completed
TXN_00000173,CUST_002706,2026-07-04 19:58:42.219608,29.63,Purchase,Completed
TXN_00000174,CUST_004343,2025-04-17 19:58:42.219662,33.93,Subscription,Completed
TXN_00000175,CUST_008646,2025-03-14 19:58:42.219727,74.55,Purchase,Completed
TXN_00000176,CUST_009939,2026-06-18 19:58:42.219794,62.64,Purchase,Completed
TXN_00000177,CUST_006933,2025-09-03 19:58:42.219846,59.21,Purchase,Completed
TXN_00000178,CUST_003471,2026-02-06 19:58:42.219899,90.0,Subscription,Completed
TXN_00000179,CUST_008836,2025-07-03 19:58:42.219950,105.03,Purchase,Failed
TXN_00000180,CUST_003296,2025-08-01 19:58:42.220003,143.77,Purchase,Completed
TXN_00000182,CUST_006538,2024-11-05 19:58:42.220088,289.9,Subscription,Failed
TXN_00000183,CUST_006119,2026-01-01 19:58:42.220155,14.37,Purchase,Pending
TXN_00000184,CUST_007178,2025-09-21 19:58:42.220208,123.2,Subscription,Completed
TXN_00000185,CUST_008480,2024-10-12 19:58:42.220260,28.08,Subscription,Completed
TXN_00000186,CUST_007398,2024-12-02 19:58:42.220316,62.62,Subscription,Completed
TXN_00000187,CUST_001983,2025-05-02 19:58:42.220368,33.2,Subscription,Completed
TXN_00000188,CUST_004062,2026-07-06 19:58:42.220431,21.72,Subscription,Completed
TXN_00000189,CUST_003682,2026-06-02 19:58:42.220484,29.08,Subscription,Completed
TXN_00000190,CUST_001050,2025-09-14 19:58:42.220566,90.93,Purchase,Completed
TXN_00000191,CUST_005540,2025-06-16 19:58:42.220656,46.91,Purchase,Completed
TXN_00000192,CUST_000345,2026-04-21 19:58:42.220746,14.47,Subscription,Completed
TXN_00000193,CUST_009639,2025-03-22 19:58:42.220838,18.19,Purchase,Completed
TXN_00000194,CUST_009076,2025-03-14 19:58:42.220931,31.53,Purchase,Completed
TXN_00000195,CUST_003771,2024-09-18 19:58:42.221022,53.57,Purchase,Completed
TXN_00000196,CUST_009642,2025-02-20 19:58:42.221108,56.91,Purchase,Completed
TXN_00000197,CUST_003609,2026-03-20 19:58:42.221217,166.27,Purchase,Completed
TXN_00000198,CUST_000118,2026-02-02 19:58:42.221310,17.34,Subscription,Failed
TXN_00000199,CUST_001164,2025-05-20 19:58:42.221410,38.46,Purchase,Completed
TXN_00000200,CUST_000965,2025-09-23 19:58:42.221498,44.75,Subscription,Completed
TXN_00000202,CUST_001105,2025-12-19 19:58:42.221650,30.75,Purchase,Completed
TXN_00000203,CUST_000515,2025-11-18 19:58:42.221742,43.47,Purchase,Completed
TXN_00000204,CUST_005414,2026-04-10 19:58:42.221834,100.18,Subscription,Completed
TXN_00000205,CUST_001161,2024-11-17 19:58:42.221932,58.64,Subscription,Failed
TXN_00000206,CUST_008424,2026-01-19 19:58:42.222026,165.57,Purchase,Completed
TXN_00000207,CUST_003900,2024-11-08 19:58:42.222138,22.85,Purchase,Completed
TXN_00000208,CUST_004563,2024-12-15 19:58:42.222250,111.74,Subscription,Completed
TXN_00000209,CUST_007954,2026-02-27 19:58:42.222333,37.18,Purchase,Completed
TXN_00000210,CUST_003511,2025-12-17 19:58:42.222400,24.36,Purchase,Pending
TXN_00000211,CUST_008835,2025-11-17 19:58:42.222456,28.84,Refund,Failed
TXN_00000212,CUST_002168,2025-10-07 19:58:42.222509,13.73,Purchase,Completed
TXN_00000215,CUST_007745,2025-10-24 19:58:42.222630,12.22,Refund,Completed
TXN_00000216,CUST_003982,2024-10-19 19:58:42.222688,114.18,Subscription,Completed
TXN_00000217,CUST_007750,2025-09-12 19:58:42.222743,104.58,Purchase,Completed
TXN_00000218,CUST_006670,2026-01-09 19:58:42.222794,44.14,Purchase,Completed
TXN_00000219,CUST_003120,2026-09-02 19:58:42.222846,156.56,Purchase,Failed
TXN_00000220,CUST_001546,2026-01-09 19:58:42.222899,69.19,Subscription,Completed
TXN_00000221,CUST_001589,2025-11-20 19:58:42.222983,26.89,Subscription,Failed
TXN_00000222,CUST_007063,2025-09-28 19:58:42.223058,118.81,Purchase,Completed
TXN_00000223,CUST_005805,2025-04-24 19:58:42.223113,59.15,Purchase,Completed
TXN_00000224,CUST_006940,2025-01-21 19:58:42.223179,165.32,Purchase,Completed
TXN_00000225,CUST_006736,2025-11-12 19:58:42.223245,36.19,Purchase,Completed
TXN_00000226,CUST_007652,2026-03-05 19:58:42.223298,11.3,Purchase,Completed
TXN_00000227,CUST_000888,2025-12-31 19:58:42.223351,206.04,Subscription,Completed
TXN_00000228,CUST_001613,2024-11-01 19:58:42.223411,38.06,Purchase,Completed
TXN_00000229,CUST_000994,2024-10-10 19:58:42.223464,92.52,Purchase,Failed
TXN_00000230,CUST_006597,2026-03-07 19:58:42.223524,192.47,Subscription,Completed
TXN_00000231,CUST_005560,2025-05-18 19:58:42.223576,83.0,Purchase,Completed
TXN_00000232,CUST_001791,2025-05-18 19:58:42.223628,30.86,Purchase,Completed
TXN_00000233,CUST_004074,2025-07-19 19:58:42.223680,68.67,Purchase,Completed
TXN_00000234,CUST_003140,2026-04-28 19:58:42.223731,115.15,Purchase,Completed
TXN_00000235,CUST_003117,2024-10-23 19:58:42.223782,26.39,Subscription,Completed
TXN_00000236,CUST_008787,2026-01-29 19:58:42.223834,28.35,Purchase,Failed
TXN_00000237,CUST_007351,2024-11-15 19:58:42.223886,66.33,Purchase,Failed
TXN_00000238,CUST_002297,2025-01-17 19:58:42.223937,12.54,Purchase,Completed
TXN_00000239,CUST_006913,2025-12-26 19:58:42.223987,10.59,Subscription,Completed
TXN_00000240,CUST_003007,2025-11-14 19:58:42.224039,17.37,Subscription,Completed
TXN_00000241,CUST_004564,2026-07-14 19:58:42.224090,19.38,Subscription,Completed
TXN_00000242,CUST_007580,2026-01-30 19:58:42.224152,18.91,Subscription,Completed
TXN_00000243,CUST_004093,2025-10-15 19:58:42.224204,26.47,Subscription,Completed
TXN_00000244,CUST_001236,2026-02-27 19:58:42.224260,44.56,Subscription,Failed
TXN_00000245,CUST_007261,2026-03-24 19:58:42.224311,20.83,Purchase,Completed
TXN_00000246,CUST_009017,2025-02-16 19:58:42.224363,19.99,Subscription,Completed
TXN_00000247,CUST_001605,2024-10-05 19:58:42.224423,39.84,Refund,Completed
TXN_00000248,CUST_000829,2024-12-01 19:58:42.224475,23.85,Subscription,Completed
TXN_00000249,CUST_008857,2025-05-06 19:58:42.224527,36.79,Upgrade,Completed
TXN_00000250,CUST_000242,2026-03-14 19:58:42.224578,20.18,Purchase,Completed
TXN_00000251,CUST_001529,2025-03-10 19:58:42.224629,19.91,Subscription,Completed
TXN_00000252,CUST_003873,2025-03-31 19:58:42.224681,49.23,Purchase,Completed
TXN_00000253,CUST_002725,2026-02-20 19:58:42.224732,89.11,Purchase,Completed
TXN_00000254,CUST_006659,2025-12-20 19:58:42.224783,106.04,Subscription,Completed
TXN_00000255,CUST_007957,2024-11-16 19:58:42.224834,36.48,Refund,Completed
TXN_00000256,CUST_007887,2026-05-03 19:58:42.224889,49.32,Purchase,Completed
TXN_00000257,CUST_003503,2026-02-11 19:58:42.224941,36.78,Purchase,Completed
TXN_00000258,CUST_006571,2024-12-01 19:58:42.224992,15.94,Purchase,Completed
TXN_00000259,CUST_000961,2026-03-30 19:58:42.225045,36.21,Subscription,Failed
TXN_00000260,CUST_002698,2024-10-01 19:58:42.225097,132.46,Subscription,Completed
TXN_00000261,CUST_006210,2025-09-04 19:58:42.225165,58.71,Purchase,Completed
TXN_00000262,CUST_000036,2025-02-11 19:58:42.225218,131.67,Refund,Completed
TXN_00000263,CUST_006397,2025-08-12 19:58:42.225270,81.3,Subscription,Completed
TXN_00000264,CUST_004346,2026-04-05 19:58:42.225321,28.18,Purchase,Completed
TXN_00000265,CUST_007455,2025-12-01 19:58:42.225373,21.51,Purchase,Completed
TXN_00000266,CUST_004674,2025-12-13 19:58:42.225431,130.32,Purchase,Completed
TXN_00000267,CUST_006931,2026-02-01 19:58:42.225482,201.98,Subscription,Completed
TXN_00000268,CUST_009106,2025-06-27 19:58:42.225534,44.86,Subscription,Completed
TXN_00000269,CUST_007974,2025-10-06 19:58:42.225586,46.7,Purchase,Completed
TXN_00000270,CUST_002537,2024-11-16 19:58:42.225637,105.0,Purchase,Completed
TXN_00000271,CUST_003112,2024-11-05 19:58:42.225688,71.55,Subscription,Completed
TXN_00000272,CUST_004862,2025-05-20 19:58:42.225739,98.43,Purchase,Completed
TXN_00000273,CUST_003567,2025-11-26 19:58:42.225790,46.24,Purchase,Completed
TXN_00000274,CUST_000959,2026-06-09 19:58:42.225842,21.46,Purchase,Completed
TXN_00000275,CUST_009490,2025-05-04 19:58:42.225893,44.62,Subscription,Completed
TXN_00000276,CUST_008884,2026-05-09 19:58:42.225945,47.91,Purchase,Completed
TXN_00000277,CUST_000999,2026-03-22 19:58:42.225996,51.95,Purchase,Completed
TXN_00000278,CUST_005139,2025-09-25 19:58:42.226051,10.35,Purchase,Completed
TXN_00000279,CUST_000937,2024-11-06 19:58:42.226102,150.74,Purchase,Completed
TXN_00000280,CUST_000822,2024-11-24 19:58:42.226163,83.28,Purchase,Completed
TXN_00000281,CUST_009572,2026-03-03 19:58:42.226215,163.03,Purchase,Completed
TXN_00000282,CUST_007812,2025-03-29 19:58:42.226290,46.28,Purchase,Completed
TXN_00000283,CUST_008239,2025-03-05 19:58:42.226388,69.32,Upgrade,Completed
TXN_00000284,CUST_008702,2026-03-12 19:58:42.226472,12.05,Purchase,Completed
TXN_00000285,CUST_002580,2026-06-11 19:58:42.226562,95.04,Purchase,Completed
TXN_00000286,CUST_000932,2026-08-28 19:58:42.226652,30.31,Purchase,Completed
TXN_00000287,CUST_008321,2026-01-22 19:58:42.226741,38.34,Purchase,Completed
TXN_00000288,CUST_001313,2025-04-16 19:58:42.226833,53.4,Purchase,Completed
TXN_00000289,CUST_003045,2026-02-23 19:58:42.226921,64.41,Purchase,Completed
TXN_00000290,CUST_001123,2024-11-20 19:58:42.227024,26.56,Purchase,Completed
TXN_00000292,CUST_001114,2025-02-19 19:58:42.227189,64.7,Purchase,Completed
TXN_00000293,CUST_003854,2025-03-11 19:58:42.227276,152.03,Purchase,Completed
TXN_00000294,CUST_006616,2026-04-11 19:58:42.227362,87.35,Purchase,Completed
TXN_00000295,CUST_001965,2026-04-15 19:58:42.227457,66.35,Purchase,Failed
TXN_00000296,CUST_009334,2026-03-12 19:58:42.227542,65.8,Purchase,Completed
TXN_00000297,CUST_004034,2025-10-18 19:58:42.227626,127.42,Refund,Pending
TXN_00000298,CUST_009486,2025-01-27 19:58:42.227710,22.37,Subscription,Completed
TXN_00000299,CUST_009741,2025-09-07 19:58:42.227794,19.58,Purchase,Completed
TXN_00000300,CUST_000652,2025-10-24 19:58:42.227877,30.92,Subscription,Pending
TXN_00000301,CUST_001344,2025-11-16 19:58:42.227960,73.63,Purchase,Completed
TXN_00000302,CUST_006869,2024-10-16 19:58:42.228043,54.05,Subscription,Completed
TXN_00000303,CUST_009563,2024-11-23 19:58:42.228138,29.41,Upgrade,Completed
TXN_00000304,CUST_009261,2026-07-28 19:58:42.228224,156.43,Subscription,Completed
TXN_00000305,CUST_008566,2025-03-20 19:58:42.228310,10.64,Refund,Completed
TXN_00000306,CUST_005184,2025-08-02 19:58:42.228403,48.37,Subscription,Completed
TXN_00000307,CUST_004273,2025-02-06 19:58:42.228489,18.52,Purchase,Completed
TXN_00000308,CUST_003347,2025-03-16 19:58:42.228572,54.99,Subscription,Completed
TXN_00000309,CUST_005148,2026-07-25 19:58:42.228655,36.6,Subscription,Completed
TXN_00000310,CUST_003911,2025-12-06 19:58:42.228738,40.48,Subscription,Completed
TXN_00000312,CUST_006485,2025-01-04 19:58:42.228875,87.41,Purchase,Completed
TXN_00000313,CUST_002145,2026-04-30 19:58:42.228958,58.36,Purchase,Completed
TXN_00000314,CUST_004916,2026-01-22 19:58:42.229041,32.67,Purchase,Completed
TXN_00000315,CUST_007492,2026-02-19 19:58:42.229146,50.2,Subscription,Completed
TXN_00000316,CUST_005181,2025-02-25 19:58:42.229234,34.22,Purchase,Completed
TXN_00000317,CUST_001189,2026-06-13 19:58:42.229320,69.58,Purchase,Completed
TXN_00000318,CUST_000153,2026-06-07 19:58:42.229414,11.1,Upgrade,Completed
TXN_00000319,CUST_007509,2025-04-09 19:58:42.229499,67.36,Subscription,Completed
TXN_00000320,CUST_009225,2026-06-04 19:58:42.229583,99.52,Purchase,Completed
TXN_00000321,CUST_001639,2025-05-01 19:58:42.229666,96.28,Purchase,Completed
TXN_00000322,CUST_001201,2024-12-30 19:58:42.229751,44.59,Subscription,Pending
TXN_00000323,CUST_008809,2025-05-18 19:58:42.229834,115.88,Purchase,Completed
TXN_00000324,CUST_003493,2025-08-04 19:58:42.229917,26.53,Upgrade,Completed
TXN_00000325,CUST_008289,2025-04-05 19:58:42.230000,82.3,Subscription,Completed
TXN_00000327,CUST_002171,2026-06-16 19:58:42.230147,24.04,Purchase,Completed
TXN_00000328,CUST_005719,2025-08-05 19:58:42.230232,69.54,Subscription,Completed
TXN_00000330,CUST_004003,2026-03-05 19:58:42.230369,21.42,Subscription,Completed
